name_of_city,population_total,effective_literacy_rate_total,total_graduates,sample_mean
Baidyabati ,0.009703210663955218,0.9016194331983806,0.007754586952538272,0.009690845798219777
Baleshwar Town ,0.009472492851073535,0.8986842105263159,0.010431594269061296,0.009905587741790327
Ballia ,0.008356087901002424,0.8767206477732794,0.0072548429025314515,0.008435851392499805
Bally ,0.023398103946749144,0.8440283400809717,0.01625293712184345,0.022978607772418242
Bally City,0.009273189203752679,0.9123481781376519,0.005562016210616454,0.00897415889012348
Balurghat ,0.012115530081587876,0.9296558704453441,0.010684617833118804,0.01225460219817335
Banda ,0.012372372940318614,0.8431174089068826,0.0108120300548773,0.01249824566480585
Bankura ,0.01106195346263842,0.8832995951417004,0.008591095461468608,0.011008072240066231
Bansberia ,0.008318262681245511,0.8677125506072875,0.0038565833624850695,0.007874200141561304
Banswara ,0.008024075431822566,0.8803643724696357,0.006236445568193227,0.007987375716133373
Baran ,0.009468886633088236,0.8217611336032389,0.005201390098854776,0.009088440836901728
Baranagar ,0.019911612398562095,0.93582995951417,0.022380879702602767,0.02088588863901029
Barasat ,0.02271460543126881,0.9151821862348178,0.02049220736946888,0.023041210933398698
Baraut ,0.00823283538408265,0.7892712550607288,0.005705186127645436,0.008086529073345467
Barddhaman ,0.025214515876855508,0.9015182186234817,0.02358566806099759,0.025706633135802202
Bareilly ,0.07197746642671159,0.7102226720647774,0.04983528706243694,0.07064873957722807
Baripada Town ,0.008819847533911872,0.9039473684210527,0.007918917203216191,0.008944550829367836
Barnala ,0.009332411316889033,0.8055668016194333,0.005702034588591339,0.009046944876814235
Barrackpur ,0.01237934496175686,0.9041497975708502,0.013466076158291903,0.01291754882694338
Barshi ,0.009502224114907889,0.8752024291497976,0.006010885415892851,0.009243842717264479
Basirhat ,0.010188367190244107,0.8932186234817814,0.009021055432420422,0.010311686561717768
Basti ,0.009187922182944721,0.863259109311741,0.00908678753269159,0.009447528641364538
Batala ,0.012533610953350205,0.8652834008097166,0.0073998136990199165,0.012108577872611336
Bathinda ,0.02290453291182789,0.8384615384615385,0.01955214829161821,0.023060426798007558
Beawar ,0.011684867515965728,0.8700404858299595,0.006198176879679191,0.011180098413180201
Begusarai ,0.020125581332356503,0.8031376518218624,0.011082612193664776,0.01931469235652846
Belgaum ,0.039130830943946794,0.9158906882591092,0.028904115324718826,0.0386937916808748
Bellary ,0.0328281235637736,0.7921052631578948,0.016592853119821064,0.03127092837823338
Bengaluru,0.6752418790575462,0.9067813765182187,0.7163731908477505,0.701441560550377
Bettiah ,0.010650043230539826,0.835425101214575,0.006050054544136629,0.010252606986143322
Betul ,0.008281559395972912,0.9136639676113361,0.007710015185916042,0.008441778886629751
Bhadrak ,0.008604355974745896,0.8186234817813764,0.005992876621298011,0.008456106406699786
Bhadravati ,0.012082913843365285,0.8765182186234818,0.005585427643589747,0.011432648176072455
Bhadreswar ,0.008120722073828579,0.8794534412955466,0.004153278253435065,0.007747818824308001
Bhagalpur ,0.03190605369402138,0.8214574898785425,0.02235611761003486,0.031361811953322064
Bhalswa Jahangir Pur ,0.015799241684482053,0.7787449392712551,0.0037584354319431896,0.01439508860146534
Bharatpur ,0.020203555779016412,0.8312753036437247,0.015042295905205307,0.01999887713024371
Bharuch ,0.013521634543144671,0.887246963562753,0.006329641080221526,0.012805604266509582
Bhatpara ,0.03129131373479408,0.8690283400809716,0.013081138173827188,0.02938243505055268
Bhavnagar ,0.04758348534877778,0.8665991902834009,0.023355155490183632,0.04521621505715601
Bhilai Nagar ,0.05014221721661358,0.8828947368421053,0.03674694537077182,0.04953496067128302
Bhilwara ,0.028850465125988836,0.8529352226720648,0.018813787713229755,0.028141156159011478
Bhimavaram ,0.011402059887740838,0.8442307692307692,0.008238123087409737,0.011250083457576833
Bhind ,0.015813826832778148,0.8522267206477734,0.00921600063390957,0.01525716682216518
Bhiwadi ,0.00840513246560249,0.816497975708502,0.004562978330467684,0.00805961832001907
Bhiwandi ,0.05700460962810516,0.8252024291497976,0.01111502802393549,0.05154423763304221
Bhiwani ,0.01584027243133701,0.8541497975708502,0.012661533259767408,0.01581617818499147
Bhopal ,0.14389995806369174,0.862753036437247,0.12732803064376488,0.14554720184786454
Bhubaneswar Town ,0.06713471636334233,0.9428137651821863,0.0903987462277203,0.07272773759457266
Bhuj ,0.011790169081136458,0.8856275303643725,0.007409268316182207,0.011460580573100636
Bhusawal ,0.015045942816441822,0.914676113360324,0.008921106622419059,0.014540767710889605
Bid ,0.011719166655914794,0.8963562753036438,0.008567684028495316,0.011578784539326235
Bidar ,0.01698480588169345,0.8871457489878544,0.011665196698807863,0.0166615207754839
Bidhan Nagar ,0.017496007315653945,0.9153846153846154,0.029652830959999314,0.01990604760049618
Biharsharif ,0.023792143365276144,0.757085020242915,0.012647576443956405,0.022761563454281916
Bijapur ,0.026153895592937165,0.8444331983805669,0.016777443264418178,0.025468158107937934
Bikaner ,0.05191383190552478,0.8082995951417005,0.03303218126572111,0.05050469100835091
Bilaspur ,0.02645409320566894,0.8983805668016195,0.030343018012846574,0.02784071938595211
Bokaro Steel City ,0.03317191634503877,0.8597165991902834,0.02747871923253721,0.033264896789884014
Bongaon ,0.008868731822157036,0.9134615384615384,0.004630961530063206,0.008475948982146955
Botad ,0.010442164798231703,0.8422064777327934,0.0020611065413794825,0.009450604076003491
Brahmapur Town ,0.02851500671517858,0.911336032388664,0.02286306517787962,0.02847823345869147
Budaun ,0.012759680751939725,0.7388663967611336,0.008646022284982872,0.012499064940426885
Bulandshahr ,0.017856869528716193,0.7993927125506074,0.014652855722091884,0.017887586348954553
Bundi ,0.008240047820053248,0.8415991902834009,0.005919490783324036,0.00812652442859888
Burari ,0.011666836426039233,0.8988866396761134,0.008065238659299269,0.011454930372257808
Burhanpur ,0.016900420380837455,0.826923076923077,0.006844692605633962,0.01583762710084432
Buxar ,0.008221455762884597,0.8619433198380567,0.005611540395752266,0.008062523597413652
Champdani ,0.008893975348054129,0.8339068825910931,0.003226725771530527,0.008279052542167858
Chandannagar ,0.013378988587281735,0.9172064777327936,0.013926651080054945,0.013862747110928159
Chandausi ,0.009156107326496639,0.7351214574898786,0.006949593834148907,0.00908644096410372
Chandigarh ,0.07699571909869873,0.8782388663967611,0.0852320230584606,0.0805400992323998
Chandrapur ,0.02572723993618757,0.9191295546558705,0.016966985827528872,0.02512534938008859
Chapra ,0.01615561615960704,0.8228744939271255,0.010288424352032316,0.015722410339575405
Chas ,0.011349008414268218,0.8615384615384616,0.006878008875634416,0.010992306436128165
Chennai ,0.37513378066998243,0.9142712550607287,0.39605616402770294,0.38939206253343434
Chhattarpur ,0.01070854410007912,0.8559716599190283,0.0093677247283711,0.010819869924968107
Chhindwara ,0.01108038524345217,0.914676113360324,0.012711057444903218,0.011665180304624155
Chikmagalur ,0.009496053475244156,0.9088056680161944,0.005944703095756813,0.00922838991862778
Chilakaluripet ,0.008138031920158013,0.7295546558704453,0.004288794432761239,0.007782983954575193
Chitradurga ,0.011212452959891563,0.8983805668016195,0.007589356262130612,0.010983878400765137
Chittaurgarh ,0.009328805098903733,0.8599190283400809,0.007578550985373707,0.009336028030284362
Chittoor ,0.012322526993944038,0.8741902834008098,0.009609943015671703,0.012267943086320277
Churu ,0.009604240014803124,0.7602226720647773,0.0039421251368105615,0.009010428992125704
Coimbatore ,0.08506242804092529,0.9285425101214575,0.07570221917873593,0.08610682989415573
Cuddalore ,0.013892834581098112,0.8961538461538462,0.009712142924997422,0.013656101991294353
Cuttack ,0.04856429650260165,0.9227732793522267,0.04959036745594711,0.050154034740428996
Dabgram ,0.00949348905356572,0.7487854251012146,0.0011399566978533967,0.008477750688277651
Dallo Pura ,0.012417811286933382,0.8291497975708503,0.007714067164699881,0.012056020291168765
Damoh ,0.01001558927965956,0.881578947368421,0.007448437444425985,0.009916042959138732
Darbhanga ,0.023569920199204276,0.8186234817813764,0.01738073788334533,0.023303971531424193
Darjiling ,0.009649758499595342,0.9532388663967613,0.0073471379748300085,0.009581125886203086
Datia ,0.008051162135801034,0.8151821862348179,0.0057254460215646315,0.007931115989213536
Davanagere ,0.034870364877937134,0.8592105263157895,0.01834195729484494,0.033327914490324004
Deesa ,0.00890727828551101,0.816497975708502,0.002671154458279701,0.00820414694239602
Dehradun ,0.046353524601258474,0.9040485829959514,0.061246109537592686,0.050035005196462194
Dehri ,0.010984379706865766,0.8439271255060729,0.006654249602793524,0.010638775701176901
Delhi ,0.8821478345823002,0.8866396761133603,1.0,0.9263458136291595
Delhi Cantonment ,0.009324237222789022,0.922165991902834,0.007796457399971276,0.009366358734151887
Deoghar ,0.016277346051155245,0.8785425101214575,0.01221266405449101,0.016128441936887783
Deoli ,0.013576208641988862,0.8486842105263157,0.005873568357107194,0.012782089655714812
Deoria ,0.010383503652337506,0.8988866396761134,0.011348241913938672,0.010844184905023422
Dewas ,0.023195033805088087,0.8687246963562754,0.013438162526669899,0.022363551654993194
Dhanbad ,0.09308538153826354,0.8176113360323887,0.04716863480280595,0.08867851786245069
Dharmavaram ,0.009776216543613159,0.7270242914979758,0.003403662178424834,0.0090767216943431
Dhaulpur ,0.010108789980035176,0.7748987854251013,0.005304490447910237,0.009663290127930156
Dhule ,0.03013940757211214,0.9095141700404858,0.017182190922937216,0.02901404111531763
Dibrugarh ,0.01111203982354535,0.9086032388663967,0.009399690338776941,0.01117777433131165
Dimapur ,0.009919263190363353,0.885425101214575,0.005808736696565768,0.009576875456271748
Dinapur Nizamat ,0.014604461596863776,0.7935222672064778,0.00890399826755396,0.014151508856270029
Dindigul ,0.016606633822301764,0.916497975708502,0.010502278787846044,0.016150411828007343
Dum Dum ,0.00942721478081367,0.9464574898785426,0.011384709722993224,0.010014594813993163
Durg ,0.021531445379380943,0.8900809716599191,0.01730104896726316,0.021510882499694902
Durgapur ,0.045433297909587625,0.8890688259109313,0.03604460238157304,0.04531118240610953
Eluru ,0.01718274717999764,0.7503036437246964,0.010590521881360762,0.016666386012248798
English Bazar ,0.017316497798163504,0.8571862348178138,0.013048722343556475,0.017166323401385224
Erode ,0.012577927365480657,0.8946356275303644,0.008831062649444856,0.012370108856969708
Etah ,0.009506952267377503,0.8747975708502025,0.009719346442835359,0.009824755348124117
Etawah ,0.020578682587664956,0.8389676113360324,0.01729024369050626,0.020676338241981906
Faizabad ,0.013426670802865132,0.8757085020242915,0.013802840617215418,0.013884867552696025
Faridabad ,0.11256633137120349,0.8591093117408907,0.0990366645551355,0.11376810551156342
Farrukhabad-cum-Fatehgarh ,0.022098422984847394,0.7582995951417004,0.014028850989380665,0.021496456246409
Fatehpur ,0.015530858928198357,0.786336032388664,0.011289713331505441,0.015331986292961473
Firozabad ,0.04838719113043474,0.7093117408906883,0.016273197015762648,0.0448159225906043
Firozpur ,0.008822492093767759,0.8071862348178138,0.006725834561308015,0.008760629754566283
Gadag-Betigeri ,0.013848918859854916,0.8659919028340082,0.007170201567935701,0.013222167406847878
Gandhidham ,0.019930765422972906,0.8435222672064778,0.01099932151866364,0.019131790124486396
Gandhinagar ,0.016692702224884233,0.9483805668016195,0.023565858386943264,0.01825764124297002
Ganganagar ,0.018012898560213462,0.8423076923076923,0.015463701698724573,0.018150331541797425
Gangapur City ,0.009540049334664803,0.8074898785425102,0.0044346656689794465,0.009031272904443022
Gangawati ,0.008442877547181952,0.7751012145748988,0.0031186730039614845,0.007867677447193857
Gaya ,0.03714035889241666,0.8678137651821862,0.025518011721023963,0.03642756677658601
Ghazipur ,0.008871135967480568,0.8649797570850202,0.008482142254169824,0.009076695785626879
Giridih ,0.009171573994744699,0.8679149797570851,0.0068037225979307,0.009078186587162928
Godhra ,0.011469856785864459,0.8979757085020244,0.005426500031290281,0.01087239809651659
